        table_name        |        column_name        |        data_type         
--------------------------+---------------------------+--------------------------
 analytics_events         | id                        | uuid
 analytics_events         | user_id                   | uuid
 analytics_events         | event_name                | text
 analytics_events         | event_type                | text
 analytics_events         | properties                | jsonb
 analytics_events         | session_id                | text
 analytics_events         | timestamp                 | timestamp with time zone
 analytics_events         | created_at                | timestamp with time zone
 anti_cheat_log           | id                        | uuid
 anti_cheat_log           | user_id                   | uuid
 anti_cheat_log           | suspicious_patterns       | jsonb
 anti_cheat_log           | risk_score                | integer
 anti_cheat_log           | actions_taken             | jsonb
 anti_cheat_log           | resolved                  | boolean
 anti_cheat_log           | resolved_at               | timestamp with time zone
 anti_cheat_log           | notes                     | text
 anti_cheat_log           | created_at                | timestamp with time zone
 app_config               | key                       | text
 app_config               | value                     | text
 app_config               | description               | text
 app_config               | created_at                | timestamp with time zone
 app_config               | updated_at                | timestamp with time zone
 beta_rewards             | id                        | uuid
 beta_rewards             | user_id                   | uuid
 beta_rewards             | final_level               | character varying
 beta_rewards             | final_points              | integer
 beta_rewards             | cmpx_tokens               | integer
 beta_rewards             | premium_months            | integer
 beta_rewards             | vip_months                | integer
 beta_rewards             | lifetime_discount         | numeric
 beta_rewards             | badge                     | character varying
 beta_rewards             | special_perks             | jsonb
 beta_rewards             | rewards_claimed           | boolean
 beta_rewards             | claimed_at                | timestamp with time zone
 beta_rewards             | created_at                | timestamp with time zone
 blockchain_transactions  | id                        | uuid
 blockchain_transactions  | user_id                   | uuid
 blockchain_transactions  | transaction_hash          | character varying
 blockchain_transactions  | transaction_type          | text
 blockchain_transactions  | from_address              | text
 blockchain_transactions  | to_address                | text
 blockchain_transactions  | amount                    | bigint
 blockchain_transactions  | gas_used                  | bigint
 blockchain_transactions  | gas_price                 | bigint
 blockchain_transactions  | block_number              | bigint
 blockchain_transactions  | status                    | text
 blockchain_transactions  | network                   | text
 blockchain_transactions  | metadata                  | jsonb
 blockchain_transactions  | created_at                | timestamp with time zone
 blockchain_transactions  | confirmed_at              | timestamp with time zone
 career_applications      | id                        | uuid
 career_applications      | user_id                   | uuid
 career_applications      | full_name                 | text
 career_applications      | email                     | text
 career_applications      | phone                     | text
 career_applications      | position                  | text
 career_applications      | experience_years          | integer
 career_applications      | skills                    | ARRAY
 career_applications      | cover_letter              | text
 career_applications      | resume_url                | text
 career_applications      | linkedin_url              | text
 career_applications      | status                    | text
 career_applications      | created_at                | timestamp with time zone
 career_applications      | updated_at                | timestamp with time zone
 chat_rooms               | id                        | uuid
 chat_rooms               | participants              | ARRAY
 chat_rooms               | created_at                | timestamp with time zone
 chat_rooms               | updated_at                | timestamp with time zone
 chat_summaries           | id                        | uuid
 chat_summaries           | chat_room_id              | uuid
 chat_summaries           | summary_text              | text
 chat_summaries           | key_points                | jsonb
 chat_summaries           | sentiment                 | text
 chat_summaries           | created_at                | timestamp with time zone
 cmpx_purchases           | id                        | bigint
